Building optimizers ...
Starting Training!
Initializing ...
Training...
Iteration: 1; Percent complete: 0.0%; Average loss: 8.9745
Iteration: 2; Percent complete: 0.1%; Average loss: 8.8494
Iteration: 3; Percent complete: 0.1%; Average loss: 8.6851
Iteration: 4; Percent complete: 0.1%; Average loss: 8.3177
Iteration: 5; Percent complete: 0.1%; Average loss: 7.9377
Iteration: 6; Percent complete: 0.1%; Average loss: 7.2616
Iteration: 7; Percent complete: 0.2%; Average loss: 6.9094
Iteration: 8; Percent complete: 0.2%; Average loss: 6.8924
Iteration: 9; Percent complete: 0.2%; Average loss: 6.8058
Iteration: 10; Percent complete: 0.2%; Average loss: 6.7770
Iteration: 11; Percent complete: 0.3%; Average loss: 6.2784
Iteration: 12; Percent complete: 0.3%; Average loss: 6.0371
Iteration: 13; Percent complete: 0.3%; Average loss: 5.7144
Iteration: 14; Percent complete: 0.4%; Average loss: 5.7864
Iteration: 15; Percent complete: 0.4%; Average loss: 5.7175
Iteration: 16; Percent complete: 0.4%; Average loss: 5.3961
Iteration: 17; Percent complete: 0.4%; Average loss: 5.1393
Iteration: 18; Percent complete: 0.4%; Average loss: 5.1577
Iteration: 19; Percent complete: 0.5%; Average loss: 4.8302
Iteration: 20; Percent complete: 0.5%; Average loss: 5.0558
Iteration: 21; Percent complete: 0.5%; Average loss: 4.9175
Iteration: 22; Percent complete: 0.5%; Average loss: 5.0273
Iteration: 23; Percent complete: 0.6%; Average loss: 4.8627
Iteration: 24; Percent complete: 0.6%; Average loss: 4.7826
Iteration: 25; Percent complete: 0.6%; Average loss: 4.9713
Iteration: 26; Percent complete: 0.7%; Average loss: 4.9700
Iteration: 27; Percent complete: 0.7%; Average loss: 4.5990
Iteration: 28; Percent complete: 0.7%; Average loss: 4.8823
Iteration: 29; Percent complete: 0.7%; Average loss: 4.6868
Iteration: 30; Percent complete: 0.8%; Average loss: 4.8409
Iteration: 31; Percent complete: 0.8%; Average loss: 4.6646
Iteration: 32; Percent complete: 0.8%; Average loss: 4.7233
Iteration: 33; Percent complete: 0.8%; Average loss: 4.6465
Iteration: 34; Percent complete: 0.9%; Average loss: 4.6842
Iteration: 35; Percent complete: 0.9%; Average loss: 4.8063
Iteration: 36; Percent complete: 0.9%; Average loss: 4.7246
Iteration: 37; Percent complete: 0.9%; Average loss: 4.5949
Iteration: 38; Percent complete: 0.9%; Average loss: 4.6837
Iteration: 39; Percent complete: 1.0%; Average loss: 4.7321
Iteration: 40; Percent complete: 1.0%; Average loss: 4.5478
Iteration: 41; Percent complete: 1.0%; Average loss: 4.5678
Iteration: 42; Percent complete: 1.1%; Average loss: 4.5305
Iteration: 43; Percent complete: 1.1%; Average loss: 4.5052
Iteration: 44; Percent complete: 1.1%; Average loss: 4.7821
Iteration: 45; Percent complete: 1.1%; Average loss: 4.7009
Iteration: 46; Percent complete: 1.1%; Average loss: 4.7498
Iteration: 47; Percent complete: 1.2%; Average loss: 4.6593
Iteration: 48; Percent complete: 1.2%; Average loss: 4.8938
Iteration: 49; Percent complete: 1.2%; Average loss: 4.5123
Iteration: 50; Percent complete: 1.2%; Average loss: 4.6002
Iteration: 51; Percent complete: 1.3%; Average loss: 4.7879
Iteration: 52; Percent complete: 1.3%; Average loss: 4.3016
Iteration: 53; Percent complete: 1.3%; Average loss: 4.7505
Iteration: 54; Percent complete: 1.4%; Average loss: 4.6996
Iteration: 55; Percent complete: 1.4%; Average loss: 4.7153
Iteration: 56; Percent complete: 1.4%; Average loss: 4.5760
Iteration: 57; Percent complete: 1.4%; Average loss: 4.5343
Iteration: 58; Percent complete: 1.5%; Average loss: 4.4451
Iteration: 59; Percent complete: 1.5%; Average loss: 4.5434
Iteration: 60; Percent complete: 1.5%; Average loss: 4.3474
Iteration: 61; Percent complete: 1.5%; Average loss: 4.2823
Iteration: 62; Percent complete: 1.6%; Average loss: 4.6972
Iteration: 63; Percent complete: 1.6%; Average loss: 4.4745
Iteration: 64; Percent complete: 1.6%; Average loss: 4.7018
Iteration: 65; Percent complete: 1.6%; Average loss: 4.7460
Iteration: 66; Percent complete: 1.7%; Average loss: 4.2526
Iteration: 67; Percent complete: 1.7%; Average loss: 4.3906
Iteration: 68; Percent complete: 1.7%; Average loss: 4.6449
Iteration: 69; Percent complete: 1.7%; Average loss: 4.5131
Iteration: 70; Percent complete: 1.8%; Average loss: 4.5685
Iteration: 71; Percent complete: 1.8%; Average loss: 4.5950
